S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
1498,PATTAN KALESHA,Independent,39,1,40,0.02,Chirala,106,Andhra Pradesh 
1499,PINJALA SANTHARAM,Independent,97,1,98,0.06,Chirala,106,Andhra Pradesh 
1500,RAVINDRA BABU PAVULURI,Independent,113,0,113,0.07,Chirala,106,Andhra Pradesh 
1501,SRINIVASA RAO POLISETTY,Independent,732,6,738,0.43,Chirala,106,Andhra Pradesh 
1502,NOTA,None of the Above,1238,17,1255,0.74,Chirala,106,Andhra Pradesh 
1503,KAILA VENKATARAO,Bahujan Samaj Party,3223,7,3230,1.7,Santhanuthalapadu,107,Andhra Pradesh 
1504,NAGARJUNA MERUGU,Yuvajana Sramika Rythu Congress Party,74652,720,75372,39.69,Santhanuthalapadu,107,Andhra Pradesh 
1505,PALAPARTHI VIJESH RAJ,Indian National Congress,2693,22,2715,1.43,Santhanuthalapadu,107,Andhra Pradesh 
1506,VIJAY KUMAR B.N,Telugu Desam,104326,1431,105757,55.69,Santhanuthalapadu,107,Andhra Pradesh 
1507,ESTHARLA SANKARAIAH,Liberation Congress Party,243,1,244,0.13,Santhanuthalapadu,107,Andhra Pradesh 
1508,KATUKURI DAVID,Jaibhim Rao Bharat Party,110,1,111,0.06,Santhanuthalapadu,107,Andhra Pradesh 
1509,CHAVABATHINA RAMBABU,Radical Party of India (Ambedkarist),60,0,60,0.03,Santhanuthalapadu,107,Andhra Pradesh 
1510,TALLURI NAGARAJU,Pyramid Party of India,64,0,64,0.03,Santhanuthalapadu,107,Andhra Pradesh 
1511,PANTHAGANI VIJAYABABU,Jatiya Jana Sena Party,79,1,80,0.04,Santhanuthalapadu,107,Andhra Pradesh 
1512,KATTI RATNAKUMARI,Independent,51,0,51,0.03,Santhanuthalapadu,107,Andhra Pradesh 
1513,KOTI RAVIKUMAR,Independent,54,1,55,0.03,Santhanuthalapadu,107,Andhra Pradesh 
1514,GATTUPALLI GOPALA RAO,Independent,138,2,140,0.07,Santhanuthalapadu,107,Andhra Pradesh 
1515,MANDA SARATH BABU,Independent,131,1,132,0.07,Santhanuthalapadu,107,Andhra Pradesh 
1516,VADDIMUKKALA RAVEENDRABABU,Independent,180,0,180,0.09,Santhanuthalapadu,107,Andhra Pradesh 
1517,NOTA,None of the Above,1710,15,1725,0.91,Santhanuthalapadu,107,Andhra Pradesh 
1518,THATIPARTHI.VENKATA SWAMY,Bahujan Samaj Party,259,15,274,0.13,Ongole,108,Andhra Pradesh 
1519,TURAKAPALLI NAGALAKSHMI,Indian National Congress,2018,49,2067,0.99,Ongole,108,Andhra Pradesh 
1520,DAMACHARLA JANARDHANA RAO,Telugu Desam,115908,2892,118800,56.76,Ongole,108,Andhra Pradesh 
1521,BALINENI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,82794,1980,84774,40.5,Ongole,108,Andhra Pradesh 
1522,KOLA SATISH,Navarang Congress Party,226,0,226,0.11,Ongole,108,Andhra Pradesh 
1523,BRAHMA NAIDU BILLA,Radical Party of India (Ambedkarist),75,0,75,0.04,Ongole,108,Andhra Pradesh 
1524,MITNASALA CHAITANYA PRASADU,Liberation Congress Party,60,0,60,0.03,Ongole,108,Andhra Pradesh 
1525,A.YOGANAND,Pyramid Party of India,71,1,72,0.03,Ongole,108,Andhra Pradesh 
1526,VALLAMREDDY.RAJAGOPALA REDDY,Jai Bharat National Party,63,0,63,0.03,Ongole,108,Andhra Pradesh 
1527,AKKARAJU NIRMAL,Independent,47,0,47,0.02,Ongole,108,Andhra Pradesh 
1528,ANITHA PALETI,Independent,49,0,49,0.02,Ongole,108,Andhra Pradesh 
1529,ALA.NARAYANA RAO,Independent,39,0,39,0.02,Ongole,108,Andhra Pradesh 
1530,ASODHI SANKAR REDDY,Independent,89,0,89,0.04,Ongole,108,Andhra Pradesh 
1531,CHAPPIDI.RAVI BABU,Independent,64,0,64,0.03,Ongole,108,Andhra Pradesh 
1532,TIRUPATISWAMI,Independent,51,0,51,0.02,Ongole,108,Andhra Pradesh 
1533,THELLA.KIRAN KUMAR,Independent,168,0,168,0.08,Ongole,108,Andhra Pradesh 
1534,DASARI SUNDARAM,Independent,126,0,126,0.06,Ongole,108,Andhra Pradesh 
1535,PATAPANJULA SRINU,Independent,120,0,120,0.06,Ongole,108,Andhra Pradesh 
1536,PATAPATI SRINIVASARAO,Independent,223,0,223,0.11,Ongole,108,Andhra Pradesh 
1537,MANNAM.SUDHEER KUMAR,Independent,282,3,285,0.14,Ongole,108,Andhra Pradesh 
1538,MANDAPALLI VENKATESWARLU,Independent,65,2,67,0.03,Ongole,108,Andhra Pradesh 
1539,SHAIK MUNTHAJ,Independent,66,1,67,0.03,Ongole,108,Andhra Pradesh 
1540,VAJRALA.MAHESWAR REDDY,Independent,47,0,47,0.02,Ongole,108,Andhra Pradesh 
1541,VENKATA RAO KOLLA,Independent,37,0,37,0.02,Ongole,108,Andhra Pradesh 
1542,SUNKARA.KALYANI,Independent,47,2,49,0.02,Ongole,108,Andhra Pradesh 
1543,HUSSAIN BEE.SHAIK,Independent,53,1,54,0.03,Ongole,108,Andhra Pradesh 
1544,NOTA,None of the Above,1282,28,1310,0.63,Ongole,108,Andhra Pradesh 
1545,INTURI NAGESWARA RAO,Telugu Desam,107546,1627,109173,52.8, Kandukur,109,Andhra Pradesh 
1546,GOUSE MOHIDDIN SYED,Indian National Congress,2281,19,2300,1.11, Kandukur,109,Andhra Pradesh 
1547,MADHU SUDHANRAO BURRA,Yuvajana Sramika Rythu Congress Party,89733,882,90615,43.82, Kandukur,109,Andhra Pradesh 
1548,SATYANARAYANA PERAM,Bahujan Samaj Party,854,14,868,0.42, Kandukur,109,Andhra Pradesh 
1549,YENDLURI BALAKUMAR,Radical Party of India (Ambedkarist),108,1,109,0.05, Kandukur,109,Andhra Pradesh 
1550,GOLI PADMAJA,Liberation Congress Party,65,3,68,0.03, Kandukur,109,Andhra Pradesh 
1551,CHEKURI VENKATA KRISHNA RAO,Pyramid Party of India,75,2,77,0.04, Kandukur,109,Andhra Pradesh 
1552,JAGANADHAM SRINU,Neethi Nijayithi Party,47,0,47,0.02, Kandukur,109,Andhra Pradesh 
1553,PODAPATI SIVA KUMAR,Jai Bharat National Party,98,4,102,0.05, Kandukur,109,Andhra Pradesh 
1554,AKKILAGUNTA ESHAK,Independent,65,0,65,0.03, Kandukur,109,Andhra Pradesh 
1555,UNNAM RADHAMMA,Independent,60,0,60,0.03, Kandukur,109,Andhra Pradesh 
1556,GODUGU MALYADRI,Independent,73,0,73,0.04, Kandukur,109,Andhra Pradesh 
1557,CHALLA VENKATA MURALI KRISHNA,Independent,122,1,123,0.06, Kandukur,109,Andhra Pradesh 
1558,CHENNIBOINA NARASIMHAM,Independent,97,1,98,0.05, Kandukur,109,Andhra Pradesh 
1559,CHERUKURI JASHUVA,Independent,167,0,167,0.08, Kandukur,109,Andhra Pradesh 
1560,TATIKONDA RAMBABU,Independent,374,0,374,0.18, Kandukur,109,Andhra Pradesh 
1561,NETHI MAHESWARA RAO,Independent,492,1,493,0.24, Kandukur,109,Andhra Pradesh 
1562,PODAPATI HARIBABU,Independent,235,0,235,0.11, Kandukur,109,Andhra Pradesh 
1563,MUCHU SRINIVASULU,Independent,435,1,436,0.21, Kandukur,109,Andhra Pradesh 
1564,RATHIKRINDI VENU,Independent,119,0,119,0.06, Kandukur,109,Andhra Pradesh 
1565,SYED NASEEMA,Independent,73,0,73,0.04, Kandukur,109,Andhra Pradesh 
1566,SANGA SATYANARAYANA,Independent,73,0,73,0.04, Kandukur,109,Andhra Pradesh 
1567,NOTA,None of the Above,1010,15,1025,0.5, Kandukur,109,Andhra Pradesh 
1568,AUDIMULAPU SURESH,Yuvajana Sramika Rythu Congress Party,91178,740,91918,42.96,Kondapi,110,Andhra Pradesh 
1569,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Telugu Desam,115310,1364,116674,54.53,Kondapi,110,Andhra Pradesh 
1570,SUDHAKARA RAO PASUMARTHI,Indian National Congress,1652,14,1666,0.78,Kondapi,110,Andhra Pradesh 
1571,RAVINUTALA MATRIKA,Bahujan Samaj Party,714,14,728,0.34,Kondapi,110,Andhra Pradesh 
1572,KONDALA RAO AMBATI,Viduthalai Chiruthaigal Katchi,187,3,190,0.09,Kondapi,110,Andhra Pradesh 
1573,KANAPARTHI SIVARAM,Liberation Congress Party,67,3,70,0.03,Kondapi,110,Andhra Pradesh 
1574,VANGEPURAM KASIRAJU,Samajwadi Party,55,0,55,0.03,Kondapi,110,Andhra Pradesh 
1575,KANDIPATI VENKATA KRISHNA RAO,Jaibhim Rao Bharat Party,104,0,104,0.05,Kondapi,110,Andhra Pradesh 
1576,SRIKANTH CHOPPARA,Navarang Congress Party,109,0,109,0.05,Kondapi,110,Andhra Pradesh 
1577,MENDA BALAKOTAIAH,Pyramid Party of India,90,1,91,0.04,Kondapi,110,Andhra Pradesh 
1578,RAVURI LAKSMANARAO,Radical Party of India (Ambedkarist),109,6,115,0.05,Kondapi,110,Andhra Pradesh 
1579,JAMULLAMUDI POLAIAH,Independent,124,0,124,0.06,Kondapi,110,Andhra Pradesh 
1580,SRINIVASARAO BODDU,Independent,112,0,112,0.05,Kondapi,110,Andhra Pradesh 
1581,MAMIDI MAALYADRI,Independent,127,0,127,0.06,Kondapi,110,Andhra Pradesh 
1582,SUJATHA VIGHNAM,Independent,249,0,249,0.12,Kondapi,110,Andhra Pradesh 
1583,NOTA,None of the Above,1600,12,1612,0.75,Kondapi,110,Andhra Pradesh 
1584,ANNA RAMBABU,Yuvajana Sramika Rythu Congress Party,83948,1078,85026,44.53,Markapuram,111,Andhra Pradesh 
1585,KANDULA NARAYANA REDDY,Telugu Desam,97365,1640,99005,51.85,Markapuram,111,Andhra Pradesh 
1586,SYED JAVEED ANWAR,Indian National Congress,2057,31,2088,1.09,Markapuram,111,Andhra Pradesh 
1587,CHATARAJUPALLI CHANDRASEKHAR,Jaibhim Rao Bharat Party,285,0,285,0.15,Markapuram,111,Andhra Pradesh 
1588,U. NARAYANA REDDY S/O BALIREDDY,Navarang Congress Party,88,0,88,0.05,Markapuram,111,Andhra Pradesh 
1589,NARAYANA REDDY S/O VENKATA NARAYANA REDDY,Jatiya Jana Sena Party,65,1,66,0.03,Markapuram,111,Andhra Pradesh 
1590,NUTALAPATI RAJU,Viduthalai Chiruthaigal Katchi,83,0,83,0.04,Markapuram,111,Andhra Pradesh 
1591,RAVILLA BHAGYALAKSHMI,Bharatha Chaitanya Yuvajana Party,66,1,67,0.04,Markapuram,111,Andhra Pradesh 
1592,SYED ISMAIL,Indian Union Muslim League,77,0,77,0.04,Markapuram,111,Andhra Pradesh 
1593,ABDUL RAWOOF,Independent,41,0,41,0.02,Markapuram,111,Andhra Pradesh 
1594,KANDI NARAYANA REDDY,Independent,56,0,56,0.03,Markapuram,111,Andhra Pradesh 
1595,KANUBUDDI RAMGOPAL REDDY,Independent,71,1,72,0.04,Markapuram,111,Andhra Pradesh 
1596,KUNDURU VISHNUVARDHAN REDDY,Independent,88,0,88,0.05,Markapuram,111,Andhra Pradesh 
1597,KUKUTLAPALLI ABBANNA,Independent,69,0,69,0.04,Markapuram,111,Andhra Pradesh 
1598,KOTTAPULI BRAHMAREDDY,Independent,128,0,128,0.07,Markapuram,111,Andhra Pradesh 
1599,GAYAM VENKATA REDDY,Independent,347,0,347,0.18,Markapuram,111,Andhra Pradesh 
1600,THAVANAM MAHESWARA REDDY,Independent,414,0,414,0.22,Markapuram,111,Andhra Pradesh 
1601,DEVIREDDY HANUMAREDDY,Independent,436,0,436,0.23,Markapuram,111,Andhra Pradesh 
1602,DONDAPATI SRINIVASA REDDY,Independent,134,0,134,0.07,Markapuram,111,Andhra Pradesh 
1603,NAGARJUNA REDDY YERUVA,Independent,306,1,307,0.16,Markapuram,111,Andhra Pradesh 
1604,PATHAN SUBHANI,Independent,330,3,333,0.17,Markapuram,111,Andhra Pradesh 
1605,POTTI VENKATA SUBBA RAO,Independent,143,0,143,0.07,Markapuram,111,Andhra Pradesh 
1606,BARIGE BALAIAH,Independent,31,1,32,0.02,Markapuram,111,Andhra Pradesh 
1607,BHAVANAM VENKATESWARA REDDY,Independent,32,0,32,0.02,Markapuram,111,Andhra Pradesh 
1608,P. BHANU PRASAD,Independent,24,1,25,0.01,Markapuram,111,Andhra Pradesh 
1609,IRRE BALA MADDILETI,Independent,39,0,39,0.02,Markapuram,111,Andhra Pradesh 
1610,YUDDAM NARASIMHARAO,Independent,122,0,122,0.06,Markapuram,111,Andhra Pradesh 
1611,NOTA,None of the Above,1308,19,1327,0.7,Markapuram,111,Andhra Pradesh 
1612,ASHOK REDDY MUTHUMULA,Telugu Desam,95608,2855,98463,47.6,Giddalur,112,Andhra Pradesh 
1613,ISUKALA JAYARAJU,Bahujan Samaj Party,1460,27,1487,0.72,Giddalur,112,Andhra Pradesh 
1614,KUNDURU NAGARJUNA REDDY (KP),Yuvajana Sramika Rythu Congress Party,96000,1490,97490,47.13,Giddalur,112,Andhra Pradesh 
1615,PAGADALA PEDDA RANGASWAMI,Indian National Congress,2759,120,2879,1.39,Giddalur,112,Andhra Pradesh 
1616,CHINTA SHAMSON,Telugu Rajadhikara Samiti Party,237,4,241,0.12,Giddalur,112,Andhra Pradesh 
1617,JAVVAJI PAVAN KUMAR,Pyramid Party of India,336,5,341,0.16,Giddalur,112,Andhra Pradesh 
1618,JANAVATH TAGORE NAIK,Liberation Congress Party,129,1,130,0.06,Giddalur,112,Andhra Pradesh 
1619,DASARI BABU RAO,Jaibhim Rao Bharat Party,156,4,160,0.08,Giddalur,112,Andhra Pradesh 
1620,KOPPULA NARASIMHULU,Independent,115,6,121,0.06,Giddalur,112,Andhra Pradesh 
1621,THAMIDALA KOTESWARA REDDY,Independent,77,0,77,0.04,Giddalur,112,Andhra Pradesh 
1622,PARISINENI VENKATESWARLU,Independent,572,5,577,0.28,Giddalur,112,Andhra Pradesh 
1623,PIDATALA RAMESH REDDY,Independent,110,3,113,0.05,Giddalur,112,Andhra Pradesh 
1624,BATTAPOTHULA OBULESU,Independent,165,3,168,0.08,Giddalur,112,Andhra Pradesh 
1625,BALASANI MALYADRI REDDY,Independent,176,2,178,0.09,Giddalur,112,Andhra Pradesh 
1626,BONTHA RANGA REDDY,Independent,149,1,150,0.07,Giddalur,112,Andhra Pradesh 
1627,BORRA RAGHAVENDRA YADAV,Independent,507,3,510,0.25,Giddalur,112,Andhra Pradesh 
1628,MEENIGE MURALI MOHAN REDDY,Independent,611,0,611,0.3,Giddalur,112,Andhra Pradesh 
1629,MUDIAM VENKATA RAMI REDDY,Independent,262,1,263,0.13,Giddalur,112,Andhra Pradesh 
1630,M.LAKSHMI RAMA NAIK,Independent,368,1,369,0.18,Giddalur,112,Andhra Pradesh 
1631,VARIKUNTLA PRASAD,Independent,149,1,150,0.07,Giddalur,112,Andhra Pradesh 
1632,VEERAMREDDY USHA RANI,Independent,135,5,140,0.07,Giddalur,112,Andhra Pradesh 
1633,NOTA,None of the Above,2233,18,2251,1.09,Giddalur,112,Andhra Pradesh 
1634,DR. UGRA NARASIMHA REDDY MUKKU,Telugu Desam,105303,1742,107045,51.93,Kanigiri,113,Andhra Pradesh 
1635,THATHAPUDI PRABHUDAS,Bahujan Samaj Party,1312,5,1317,0.64,Kanigiri,113,Andhra Pradesh 
1636,DADDALA NARAYANA,Yuvajana Sramika Rythu Congress Party,91518,923,92441,44.84,Kanigiri,113,Andhra Pradesh 
1637,DEVARAPALLI SUBBA REDDY,Indian National Congress,1820,18,1838,0.89,Kanigiri,113,Andhra Pradesh 
1638,ALLABAKSH SHAIK,Indian Union Muslim League,157,0,157,0.08,Kanigiri,113,Andhra Pradesh 
1639,DAMMU VENKATESH,Liberation Congress Party,119,1,120,0.06,Kanigiri,113,Andhra Pradesh 
1640,PANDITI ALLURAIAH,Pyramid Party of India,229,1,230,0.11,Kanigiri,113,Andhra Pradesh 
1641,SHAIK NAZIR BASHA,Samajwadi Party,124,0,124,0.06,Kanigiri,113,Andhra Pradesh 
1642,K KURSHEED,Independent,119,2,121,0.06,Kanigiri,113,Andhra Pradesh 
1643,SHAIK MASTAN VALI,Independent,105,0,105,0.05,Kanigiri,113,Andhra Pradesh 
1644,SHAIK SUBHAHAN,Independent,169,1,170,0.08,Kanigiri,113,Andhra Pradesh 
1645,SHAMSHIRA BHASHA MUPARLAPATI,Independent,262,0,262,0.13,Kanigiri,113,Andhra Pradesh 
1646,NOTA,None of the Above,2205,12,2217,1.08,Kanigiri,113,Andhra Pradesh 
1647,GUNJI VENKATESWARLU,Bahujan Samaj Party,616,14,630,0.32,Kavali,114,Andhra Pradesh 
1648,DAGUMATI VENKATA KRISHNA REDDY,Telugu Desam,104271,2265,106536,53.27,Kavali,114,Andhra Pradesh 
1649,PODALAKURI KALYAN,Indian National Congress,2309,31,2340,1.17,Kavali,114,Andhra Pradesh 
1650,RAMIREDDY PRATAP KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,74520,1068,75588,37.8,Kavali,114,Andhra Pradesh 
1651,MUPPASANI NARENDRA,Jai Bharat National Party,315,1,316,0.16,Kavali,114,Andhra Pradesh 
1652,YELLU SALMAN,Radical Party of India (Ambedkarist),217,1,218,0.11,Kavali,114,Andhra Pradesh 
1653,SABBELLA VIJAYA BHASKARA REDDY,Pyramid Party of India,144,1,145,0.07,Kavali,114,Andhra Pradesh 
1654,ANUMALASETTY HARI PRASADA RAO,Independent,153,0,153,0.08,Kavali,114,Andhra Pradesh 
1655,GARRE SURESH BABU,Independent,217,0,217,0.11,Kavali,114,Andhra Pradesh 
1656,DEVARAPALLE KRISHNAREDDI,Independent,223,2,225,0.11,Kavali,114,Andhra Pradesh 
1657,PASUPULETI SUDHAKAR,Independent,10936,175,11111,5.56,Kavali,114,Andhra Pradesh 
1658,VAYILA TIRAPATHI,Independent,147,0,147,0.07,Kavali,114,Andhra Pradesh 
1659,VIDAVALAPATI SREENIVASULU,Independent,326,0,326,0.16,Kavali,114,Andhra Pradesh 
1660,NOTA,None of the Above,2008,22,2030,1.02,Kavali,114,Andhra Pradesh 
1661,ANAM.RAMANARAYANA REDDY,Telugu Desam,89243,1922,91165,49.85,Atmakur,115,Andhra Pradesh 
1662,CHEVURU SREEDHARA REDDY,Indian National Congress,2888,27,2915,1.59,Atmakur,115,Andhra Pradesh 
1663,THOGATHARI KRISHNA,Bahujan Samaj Party,1033,18,1051,0.57,Atmakur,115,Andhra Pradesh 
1664,MEKAPATI VIKRAM REDDY,Yuvajana Sramika Rythu Congress Party,82505,1084,83589,45.7,Atmakur,115,Andhra Pradesh 
1665,NELLORE.KRISHNA REDDY,Yuga Thulasi Party,455,0,455,0.25,Atmakur,115,Andhra Pradesh 
1666,BELLAMKONDA VENKATESH,Vishwa Jana Party,102,1,103,0.06,Atmakur,115,Andhra Pradesh 
1667,BODDU RAJESWARI,Pyramid Party of India,55,3,58,0.03,Atmakur,115,Andhra Pradesh 
1668,RAMANARAYANA REDDY NAGA SAI,Jatiya Jana Sena Party,56,0,56,0.03,Atmakur,115,Andhra Pradesh 
1669,RAMISETTY VENKATESWARLU,Samajwadi Party,82,2,84,0.05,Atmakur,115,Andhra Pradesh 
1670,SYED SHUKKUR,Indian Union Muslim League,120,0,120,0.07,Atmakur,115,Andhra Pradesh 
1671,GANGINENI SRINIVASULU,Independent,181,1,182,0.1,Atmakur,115,Andhra Pradesh 
1672,NAGELLA VENKATA BHANU PRAKASH,Independent,164,1,165,0.09,Atmakur,115,Andhra Pradesh 
1673,RAMNARAYANA REDDY DHANIREDDY,Independent,599,4,603,0.33,Atmakur,115,Andhra Pradesh 
1674,NOTA,None of the Above,2336,11,2347,1.28,Atmakur,115,Andhra Pradesh 
1675,ANIL KADIMPATI,Bahujan Samaj Party,813,24,837,0.39,Kovur,116,Andhra Pradesh 
1676,KIRAN KUMAR REDDY NARAPAREDDY,Indian National Congress,3172,31,3203,1.49,Kovur,116,Andhra Pradesh 
1677,NALLAPAREDDY PRASANNA KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,75266,774,76040,35.33,Kovur,116,Andhra Pradesh 
1678,PRASHANTHI REDDY VEMIREDDY,Telugu Desam,128303,2320,130623,60.68,Kovur,116,Andhra Pradesh 
1679,ALLA SIVAIAH,Jaibhim Rao Bharat Party,307,0,307,0.14,Kovur,116,Andhra Pradesh 
1680,POLAVARAPU SUNANDA,Jai Maha Bharath Party,202,0,202,0.09,Kovur,116,Andhra Pradesh 
1681,RAGHURAM PANDHI,Loktantrik Janta Dal,97,0,97,0.05,Kovur,116,Andhra Pradesh 
1682,RAMISETTY SAI,Radical Party of India (Ambedkarist),76,0,76,0.04,Kovur,116,Andhra Pradesh 
1683,SOMA GOPAL,Bharatha Chaitanya Yuvajana Party,119,2,121,0.06,Kovur,116,Andhra Pradesh 
1684,UJWAL KUMAR KANDIKATTU,Independent,113,0,113,0.05,Kovur,116,Andhra Pradesh 
1685,CHAKKIRALA ANITHAMMA,Independent,184,0,184,0.09,Kovur,116,Andhra Pradesh 
1686,MODEM SREENIVASULU REDDY,Independent,175,0,175,0.08,Kovur,116,Andhra Pradesh 
1687,SHAIK CHOTE SAHEB,Independent,896,3,899,0.42,Kovur,116,Andhra Pradesh 
1688,NOTA,None of the Above,2361,16,2377,1.1,Kovur,116,Andhra Pradesh 
1689,KHALEEL AHAMAD MD,Yuvajana Sramika Rythu Congress Party,47613,449,48062,27.51,Nellore City,117,Andhra Pradesh 
1690,CHALLA SARATH KUMAR,Bahujan Samaj Party,1267,10,1277,0.73,Nellore City,117,Andhra Pradesh 
1691,NARAYANA PONGURU,Telugu Desam,118126,2425,120551,68.99,Nellore City,117,Andhra Pradesh 
1692,MULAM. RAMESH,Communist Party of India (Marxist),1986,52,2038,1.17,Nellore City,117,Andhra Pradesh 
1693,AMEER AHMED SHAIK,Social Democratic Party Of India,1050,10,1060,0.61,Nellore City,117,Andhra Pradesh 
1694,KALAHASTI CHENCHU MAHESH,Bharatha Chaitanya Yuvajana Party,119,0,119,0.07,Nellore City,117,Andhra Pradesh 
1695,PONNAPUDI SYAMALA,Pyramid Party of India,91,0,91,0.05,Nellore City,117,Andhra Pradesh 
1696,RAGUNATH RAMISETTY,Jaibhim Rao Bharat Party,67,0,67,0.04,Nellore City,117,Andhra Pradesh 
1697,D. SUNEEL KUMAR,Radical Party of India (Ambedkarist),22,1,23,0.01,Nellore City,117,Andhra Pradesh 
1698,GUNDALA PADMA REDDY,Independent,39,0,39,0.02,Nellore City,117,Andhra Pradesh 
1699,DASARI GOWTHAM,Independent,50,3,53,0.03,Nellore City,117,Andhra Pradesh 
1700,NARU. RAVI KUMAR REDDY,Independent,48,0,48,0.03,Nellore City,117,Andhra Pradesh 
1701,BANDARU VENKATA SRIDHAR,Independent,82,0,82,0.05,Nellore City,117,Andhra Pradesh 
1702,VELURU. RANGA RAO,Independent,118,0,118,0.07,Nellore City,117,Andhra Pradesh 
1703,HANUMANTHA RAO DESAISETTY,Independent,143,0,143,0.08,Nellore City,117,Andhra Pradesh 
1704,NOTA,None of the Above,944,23,967,0.55,Nellore City,117,Andhra Pradesh 
1705,ADALA PRABHAKARA REDDY,Yuvajana Sramika Rythu Congress Party,74275,1220,75495,38.81,Nellore Rural,118,Andhra Pradesh 
1706,KOTAMREDDY SRIDHAR REDDY,Telugu Desam,106587,3388,109975,56.53,Nellore Rural,118,Andhra Pradesh 
1707,BODEDDULA SRIRAMULU,Bahujan Samaj Party,655,29,684,0.35,Nellore Rural,118,Andhra Pradesh 
1708,SHAIK FAYAZ,Indian National Congress,4207,73,4280,2.2,Nellore Rural,118,Andhra Pradesh 
1709,ANIL KUMAR SURISETTY,Revolutionary Socialist Party,590,2,592,0.3,Nellore Rural,118,Andhra Pradesh 
1710,KATTA SIREESH,Akhil Bharatiya Jan Sangh,98,2,100,0.05,Nellore Rural,118,Andhra Pradesh 
1711,FAZIL SYED,Social Democratic Party Of India,946,11,957,0.49,Nellore Rural,118,Andhra Pradesh 
1712,JADDA NIRANJAN,Independent,46,0,46,0.02,Nellore Rural,118,Andhra Pradesh 
1713,BOMMALATA SURESH,Independent,74,1,75,0.04,Nellore Rural,118,Andhra Pradesh 
1714,SHAIK MUJEEB,Independent,152,3,155,0.08,Nellore Rural,118,Andhra Pradesh 
1715,SHAIK SARDAR HUSSIEN,Independent,167,0,167,0.09,Nellore Rural,118,Andhra Pradesh 
1716,NOTA,None of the Above,1972,44,2016,1.04,Nellore Rural,118,Andhra Pradesh 
1717,KAKANI GOVARDHAN REDDY,Yuvajana Sramika Rythu Congress Party,86249,741,86990,44.45,Sarvepalli,119,Andhra Pradesh 
1718,CHANDRA MOHAN REDDY SOMIREDDY,Telugu Desam,102243,1035,103278,52.77,Sarvepalli,119,Andhra Pradesh 
1719,CHANDRASEKHAR POOLA,Indian National Congress,1570,7,1577,0.81,Sarvepalli,119,Andhra Pradesh 
1720,JANAKI PRASAD,Bahujan Samaj Party,565,9,574,0.29,Sarvepalli,119,Andhra Pradesh 
1721,KURAPATI VIJAYA BABU,Young Senior Rich Common People Kings Party,148,0,148,0.08,Sarvepalli,119,Andhra Pradesh 
1722,NAKKA MANOHAR,Jatiya Jana Sena Party,80,0,80,0.04,Sarvepalli,119,Andhra Pradesh 
1723,PINISETTY SRIHARI,Pyramid Party of India,153,0,153,0.08,Sarvepalli,119,Andhra Pradesh 
1724,KADIVETI VENKAIAH,Independent,55,0,55,0.03,Sarvepalli,119,Andhra Pradesh 
1725,KOSURU NARAYANA,Independent,120,2,122,0.06,Sarvepalli,119,Andhra Pradesh 
1726,GOLLAMURI RAVI,Independent,76,2,78,0.04,Sarvepalli,119,Andhra Pradesh 
1727,TATIPARTHI VENU,Independent,66,0,66,0.03,Sarvepalli,119,Andhra Pradesh 
1728,BHASKAR THIGALA,Independent,93,0,93,0.05,Sarvepalli,119,Andhra Pradesh 
1729,MANNEM PEDDA PUTTAIAH,Independent,443,2,445,0.23,Sarvepalli,119,Andhra Pradesh 
1730,NOTA,None of the Above,2052,5,2057,1.05,Sarvepalli,119,Andhra Pradesh 
1731,ANNEM MALLIKHARJUN,Bahujan Samaj Party,1583,15,1598,0.82,Gudur,120,Andhra Pradesh 
1732,DR UYYALA RAMAKRISHNA RAO,Indian National Congress,3276,32,3308,1.7,Gudur,120,Andhra Pradesh 
1733,PASIM SUNIL KUMAR,Telugu Desam,100844,1831,102675,52.77,Gudur,120,Andhra Pradesh 
1734,MERIGA MURALIDHAR,Yuvajana Sramika Rythu Congress Party,80929,554,81483,41.88,Gudur,120,Andhra Pradesh 
1735,KARLA RAMESH BABU,Indian Believers Party (IBP),303,1,304,0.16,Gudur,120,Andhra Pradesh 
1736,GORRIPATI VENKATESWARLU,Jai Bharat National Party,178,0,178,0.09,Gudur,120,Andhra Pradesh 
1737,DURTHATI POLAMMA,Pyramid Party of India,225,3,228,0.12,Gudur,120,Andhra Pradesh 
1738,SUNEEL RAJU DARLA,Samajwadi Party,139,1,140,0.07,Gudur,120,Andhra Pradesh 
1739,THATIPARTHI BABU,Independent,232,0,232,0.12,Gudur,120,Andhra Pradesh 
1740,PALLI KOTESWARA RAO,Independent,200,0,200,0.1,Gudur,120,Andhra Pradesh 
1741,BIKKI VENKATA RAMANAIAH,Independent,133,1,134,0.07,Gudur,120,Andhra Pradesh 
1742,BODDU MURALI,Independent,180,0,180,0.09,Gudur,120,Andhra Pradesh 
1743,YALAPALLI SRINIVASULU,Independent,266,0,266,0.14,Gudur,120,Andhra Pradesh 
1744,VADANALA VENKAIAH,Independent,510,0,510,0.26,Gudur,120,Andhra Pradesh 
